name, status, time (us), blocks, blocks executed, host instructions, source instructions, host instructions executed, source instructions emulated
addiu_0, passed, 2.8637, 0, 0, 0, 0, 0, 1
addiu_1, passed, 2.97162, 0, 0, 0, 0, 0, 5
addiu_2, passed, 2.91679, 0, 0, 0, 0, 0, 3
addiu_3, passed, 2.86555, 0, 0, 0, 0, 0, 1
addiu_4, passed, 2.8654, 0, 0, 0, 0, 0, 1
addi_0, passed, 2.85836, 0, 0, 0, 0, 0, 1
addi_1, passed, 2.98427, 0, 0, 0, 0, 0, 5
addi_2, passed, 2.90917, 0, 0, 0, 0, 0, 3
addi_3, passed, 2.86372, 0, 0, 0, 0, 0, 1
addu_0, passed, 2.84852, 0, 0, 0, 0, 0, 1
addu_1, passed, 2.90667, 0, 0, 0, 0, 0, 1
addu_2, passed, 2.86338, 0, 0, 0, 0, 0, 1
addu_3, passed, 2.88698, 0, 0, 0, 0, 0, 1
addu_4, passed, 2.85596, 0, 0, 0, 0, 0, 1
addu_5, passed, 2.90252, 0, 0, 0, 0, 0, 1
addu_6, passed, 2.85074, 0, 0, 0, 0, 0, 1
add_0, passed, 2.85, 0, 0, 0, 0, 0, 1
add_1, passed, 2.8603, 0, 0, 0, 0, 0, 1
add_2, passed, 2.87846, 0, 0, 0, 0, 0, 1
add_3, passed, 2.85255, 0, 0, 0, 0, 0, 1
add_4, passed, 2.86033, 0, 0, 0, 0, 0, 1
add_5, passed, 2.8575, 0, 0, 0, 0, 0, 1
andi_0, passed, 2.85694, 0, 0, 0, 0, 0, 1
andi_1, passed, 2.867, 0, 0, 0, 0, 0, 1
andi_2, passed, 2.85821, 0, 0, 0, 0, 0, 1
andi_3, passed, 2.8521, 0, 0, 0, 0, 0, 1
andi_4, passed, 2.85739, 0, 0, 0, 0, 0, 1
and_0, passed, 2.85537, 0, 0, 0, 0, 0, 1
and_1, passed, 2.85374, 0, 0, 0, 0, 0, 1
and_2, passed, 2.85308, 0, 0, 0, 0, 0, 1
and_3, passed, 2.86311, 0, 0, 0, 0, 0, 1
and_4, passed, 2.85064, 0, 0, 0, 0, 0, 1
divu_0, passed, 2.91992, 0, 0, 0, 0, 0, 3
divu_1, passed, 2.93115, 0, 0, 0, 0, 0, 3
divu_2, passed, 2.92995, 0, 0, 0, 0, 0, 3
divu_3, passed, 2.96345, 0, 0, 0, 0, 0, 3
divu_4, passed, 2.91663, 0, 0, 0, 0, 0, 3
divu_5, passed, 2.92158, 0, 0, 0, 0, 0, 3
divu_6, passed, 2.92855, 0, 0, 0, 0, 0, 3
divu_7, passed, 2.9161, 0, 0, 0, 0, 0, 3
div_0, passed, 2.9335, 0, 0, 0, 0, 0, 3
div_1, passed, 2.91987, 0, 0, 0, 0, 0, 3
div_2, passed, 2.94686, 0, 0, 0, 0, 0, 3
div_3, passed, 2.91721, 0, 0, 0, 0, 0, 3
div_4, passed, 2.92792, 0, 0, 0, 0, 0, 3
div_5, passed, 2.94626, 0, 0, 0, 0, 0, 3
div_6, passed, 2.91123, 0, 0, 0, 0, 0, 3
div_7, passed, 2.92421, 0, 0, 0, 0, 0, 3
lui_0, passed, 2.85717, 0, 0, 0, 0, 0, 1
lui_1, passed, 2.86338, 0, 0, 0, 0, 0, 1
multu_0, passed, 2.91774, 0, 0, 0, 0, 0, 3
multu_1, passed, 2.94095, 0, 0, 0, 0, 0, 3
multu_2, passed, 2.90708, 0, 0, 0, 0, 0, 3
multu_3, passed, 2.93574, 0, 0, 0, 0, 0, 3
multu_4, passed, 2.90442, 0, 0, 0, 0, 0, 3
multu_5, passed, 2.95195, 0, 0, 0, 0, 0, 3
multu_6, passed, 2.91016, 0, 0, 0, 0, 0, 3
multu_7, passed, 2.94423, 0, 0, 0, 0, 0, 3
mult_0, passed, 2.93583, 0, 0, 0, 0, 0, 3
mult_1, passed, 2.90377, 0, 0, 0, 0, 0, 3
mult_2, passed, 2.91834, 0, 0, 0, 0, 0, 3
mult_3, passed, 2.91065, 0, 0, 0, 0, 0, 3
mult_4, passed, 2.90418, 0, 0, 0, 0, 0, 3
mult_5, passed, 2.9192, 0, 0, 0, 0, 0, 3
mult_6, passed, 2.90791, 0, 0, 0, 0, 0, 3
mult_7, passed, 2.90865, 0, 0, 0, 0, 0, 3
mxhi_0, passed, 2.88221, 0, 0, 0, 0, 0, 2
mxlo_0, passed, 2.91322, 0, 0, 0, 0, 0, 2
nop, passed, 2.9515, 0, 0, 0, 0, 0, 3
nor_0, passed, 2.85732, 0, 0, 0, 0, 0, 1
nor_1, passed, 2.852, 0, 0, 0, 0, 0, 1
nor_2, passed, 2.85948, 0, 0, 0, 0, 0, 1
nor_3, passed, 2.86052, 0, 0, 0, 0, 0, 1
ori_0, passed, 2.85533, 0, 0, 0, 0, 0, 1
ori_1, passed, 2.8458, 0, 0, 0, 0, 0, 1
ori_2, passed, 2.85787, 0, 0, 0, 0, 0, 1
ori_3, passed, 2.84404, 0, 0, 0, 0, 0, 1
ori_4, passed, 2.87143, 0, 0, 0, 0, 0, 1
or_0, passed, 2.85211, 0, 0, 0, 0, 0, 1
or_1, passed, 2.85361, 0, 0, 0, 0, 0, 1
or_2, passed, 2.85494, 0, 0, 0, 0, 0, 1
or_3, passed, 2.85005, 0, 0, 0, 0, 0, 1
or_4, passed, 2.89062, 0, 0, 0, 0, 0, 1
sllv_0, passed, 2.85255, 0, 0, 0, 0, 0, 1
sllv_1, passed, 2.86044, 0, 0, 0, 0, 0, 1
sllv_10, passed, 2.85171, 0, 0, 0, 0, 0, 1
sllv_11, passed, 2.86431, 0, 0, 0, 0, 0, 1
sllv_12, passed, 2.85826, 0, 0, 0, 0, 0, 1
sllv_2, passed, 2.87816, 0, 0, 0, 0, 0, 1
sllv_3, passed, 2.87293, 0, 0, 0, 0, 0, 1
sllv_4, passed, 2.85025, 0, 0, 0, 0, 0, 1
sllv_5, passed, 2.85793, 0, 0, 0, 0, 0, 1
sllv_6, passed, 2.86133, 0, 0, 0, 0, 0, 1
sllv_7, passed, 2.84717, 0, 0, 0, 0, 0, 1
sllv_8, passed, 2.85368, 0, 0, 0, 0, 0, 1
sllv_9, passed, 2.85885, 0, 0, 0, 0, 0, 1
sll_0, passed, 2.85469, 0, 0, 0, 0, 0, 1
sll_1, passed, 2.86789, 0, 0, 0, 0, 0, 1
sll_2, passed, 2.86378, 0, 0, 0, 0, 0, 1
sll_3, passed, 2.85381, 0, 0, 0, 0, 0, 1
sll_4, passed, 2.85878, 0, 0, 0, 0, 0, 1
sll_5, passed, 2.86052, 0, 0, 0, 0, 0, 1
sll_6, passed, 2.86588, 0, 0, 0, 0, 0, 1
sll_7, passed, 2.86207, 0, 0, 0, 0, 0, 1
sltiu_0, passed, 2.8552, 0, 0, 0, 0, 0, 1
sltiu_1, passed, 2.87202, 0, 0, 0, 0, 0, 1
sltiu_2, passed, 2.85985, 0, 0, 0, 0, 0, 1
sltiu_3, passed, 2.86229, 0, 0, 0, 0, 0, 1
sltiu_4, passed, 2.84877, 0, 0, 0, 0, 0, 1
sltiu_5, passed, 2.86475, 0, 0, 0, 0, 0, 1
slti_0, passed, 2.85205, 0, 0, 0, 0, 0, 1
slti_1, passed, 2.87053, 0, 0, 0, 0, 0, 1
slti_2, passed, 2.8533, 0, 0, 0, 0, 0, 1
slti_3, passed, 2.8485, 0, 0, 0, 0, 0, 1
slti_4, passed, 2.85452, 0, 0, 0, 0, 0, 1
slti_5, passed, 2.85114, 0, 0, 0, 0, 0, 1
sltu_0, passed, 2.86543, 0, 0, 0, 0, 0, 1
sltu_1, passed, 2.85819, 0, 0, 0, 0, 0, 1
sltu_2, passed, 2.85419, 0, 0, 0, 0, 0, 1
sltu_3, passed, 2.85167, 0, 0, 0, 0, 0, 1
sltu_4, passed, 2.85511, 0, 0, 0, 0, 0, 1
sltu_5, passed, 2.85711, 0, 0, 0, 0, 0, 1
slt_0, passed, 2.86263, 0, 0, 0, 0, 0, 1
slt_1, passed, 2.86077, 0, 0, 0, 0, 0, 1
slt_2, passed, 2.86032, 0, 0, 0, 0, 0, 1
slt_3, passed, 2.8812, 0, 0, 0, 0, 0, 1
slt_4, passed, 2.86348, 0, 0, 0, 0, 0, 1
slt_5, passed, 2.85462, 0, 0, 0, 0, 0, 1
srav_0, passed, 2.84995, 0, 0, 0, 0, 0, 1
srav_1, passed, 2.85735, 0, 0, 0, 0, 0, 1
srav_10, passed, 2.85719, 0, 0, 0, 0, 0, 1
srav_11, passed, 2.85944, 0, 0, 0, 0, 0, 1
srav_12, passed, 2.86607, 0, 0, 0, 0, 0, 1
srav_2, passed, 2.87325, 0, 0, 0, 0, 0, 1
srav_3, passed, 2.86564, 0, 0, 0, 0, 0, 1
srav_4, passed, 2.86234, 0, 0, 0, 0, 0, 1
srav_5, passed, 2.86478, 0, 0, 0, 0, 0, 1
srav_6, passed, 2.87278, 0, 0, 0, 0, 0, 1
srav_7, passed, 2.85902, 0, 0, 0, 0, 0, 1
srav_8, passed, 2.84604, 0, 0, 0, 0, 0, 1
srav_9, passed, 2.86373, 0, 0, 0, 0, 0, 1
sra_0, passed, 2.85261, 0, 0, 0, 0, 0, 1
sra_1, passed, 2.84795, 0, 0, 0, 0, 0, 1
sra_2, passed, 2.85709, 0, 0, 0, 0, 0, 1
sra_3, passed, 2.9612, 0, 0, 0, 0, 0, 1
sra_4, passed, 2.84932, 0, 0, 0, 0, 0, 1
sra_5, passed, 2.84759, 0, 0, 0, 0, 0, 1
sra_6, passed, 2.84861, 0, 0, 0, 0, 0, 1
sra_7, passed, 2.84661, 0, 0, 0, 0, 0, 1
srlv_0, passed, 2.8596, 0, 0, 0, 0, 0, 1
srlv_1, passed, 2.86182, 0, 0, 0, 0, 0, 1
srlv_10, passed, 2.85764, 0, 0, 0, 0, 0, 1
srlv_11, passed, 2.84529, 0, 0, 0, 0, 0, 1
srlv_12, passed, 2.88471, 0, 0, 0, 0, 0, 1
srlv_2, passed, 2.86863, 0, 0, 0, 0, 0, 1
srlv_3, passed, 2.85366, 0, 0, 0, 0, 0, 1
srlv_4, passed, 2.8636, 0, 0, 0, 0, 0, 1
srlv_5, passed, 2.85076, 0, 0, 0, 0, 0, 1
srlv_6, passed, 2.86044, 0, 0, 0, 0, 0, 1
srlv_7, passed, 2.85433, 0, 0, 0, 0, 0, 1
srlv_8, passed, 2.86213, 0, 0, 0, 0, 0, 1
srlv_9, passed, 2.85197, 0, 0, 0, 0, 0, 1
srl_0, passed, 2.85539, 0, 0, 0, 0, 0, 1
srl_1, passed, 2.86167, 0, 0, 0, 0, 0, 1
srl_2, passed, 2.86958, 0, 0, 0, 0, 0, 1
srl_3, passed, 2.86635, 0, 0, 0, 0, 0, 1
srl_4, passed, 2.86274, 0, 0, 0, 0, 0, 1
srl_5, passed, 2.86528, 0, 0, 0, 0, 0, 1
srl_6, passed, 2.85745, 0, 0, 0, 0, 0, 1
srl_7, passed, 2.85276, 0, 0, 0, 0, 0, 1
subu_0, passed, 2.88341, 0, 0, 0, 0, 0, 1
subu_1, passed, 2.85995, 0, 0, 0, 0, 0, 1
subu_2, passed, 2.86369, 0, 0, 0, 0, 0, 1
subu_3, passed, 2.88123, 0, 0, 0, 0, 0, 1
subu_4, passed, 2.85119, 0, 0, 0, 0, 0, 1
subu_5, passed, 2.85741, 0, 0, 0, 0, 0, 1
sub_0, passed, 2.84823, 0, 0, 0, 0, 0, 1
sub_1, passed, 2.87984, 0, 0, 0, 0, 0, 1
sub_2, passed, 2.85438, 0, 0, 0, 0, 0, 1
sub_3, passed, 2.86523, 0, 0, 0, 0, 0, 1
sub_4, passed, 2.85627, 0, 0, 0, 0, 0, 1
sub_5, passed, 2.8469, 0, 0, 0, 0, 0, 1
xori_0, passed, 2.85728, 0, 0, 0, 0, 0, 1
xori_1, passed, 2.86224, 0, 0, 0, 0, 0, 1
xori_2, passed, 2.86878, 0, 0, 0, 0, 0, 1
xori_3, passed, 2.85843, 0, 0, 0, 0, 0, 1
xori_4, passed, 2.86807, 0, 0, 0, 0, 0, 1
xor_0, passed, 2.85174, 0, 0, 0, 0, 0, 1
xor_1, passed, 2.85934, 0, 0, 0, 0, 0, 1
xor_2, passed, 2.86253, 0, 0, 0, 0, 0, 1
xor_3, passed, 2.8583, 0, 0, 0, 0, 0, 1
