name, status, time (us), blocks, blocks executed, host instructions, source instructions, host instructions executed, source instructions emulated
addiu_0, passed, 11.0738, 0, 0, 0, 0, 0, 1
addiu_1, passed, 10.0248, 0, 0, 0, 0, 0, 5
addiu_2, passed, 10.1744, 0, 0, 0, 0, 0, 3
addiu_3, passed, 11.3049, 0, 0, 0, 0, 0, 1
addiu_4, passed, 11.1824, 0, 0, 0, 0, 0, 1
addi_0, passed, 11.3496, 0, 0, 0, 0, 0, 1
addi_1, passed, 10.2693, 0, 0, 0, 0, 0, 5
addi_2, passed, 10.0813, 0, 0, 0, 0, 0, 3
addi_3, passed, 11.1806, 0, 0, 0, 0, 0, 1
addu_0, passed, 11.2251, 0, 0, 0, 0, 0, 1
addu_1, passed, 11.4325, 0, 0, 0, 0, 0, 1
addu_2, passed, 11.4345, 0, 0, 0, 0, 0, 1
addu_3, passed, 11.1325, 0, 0, 0, 0, 0, 1
addu_4, passed, 11.3514, 0, 0, 0, 0, 0, 1
addu_5, passed, 11.624, 0, 0, 0, 0, 0, 1
addu_6, passed, 11.3817, 0, 0, 0, 0, 0, 1
add_0, passed, 10.6986, 0, 0, 0, 0, 0, 1
add_1, passed, 10.655, 0, 0, 0, 0, 0, 1
add_2, passed, 11.0015, 0, 0, 0, 0, 0, 1
add_3, passed, 11.1799, 0, 0, 0, 0, 0, 1
add_4, passed, 10.96, 0, 0, 0, 0, 0, 1
add_5, passed, 10.8799, 0, 0, 0, 0, 0, 1
andi_0, passed, 11.1764, 0, 0, 0, 0, 0, 1
andi_1, passed, 11.1522, 0, 0, 0, 0, 0, 1
andi_2, passed, 11.1871, 0, 0, 0, 0, 0, 1
andi_3, passed, 11.3133, 0, 0, 0, 0, 0, 1
andi_4, passed, 11.4478, 0, 0, 0, 0, 0, 1
and_0, passed, 11.3334, 0, 0, 0, 0, 0, 1
and_1, passed, 11.1054, 0, 0, 0, 0, 0, 1
and_2, passed, 11.5031, 0, 0, 0, 0, 0, 1
and_3, passed, 11.0433, 0, 0, 0, 0, 0, 1
and_4, passed, 10.987, 0, 0, 0, 0, 0, 1
divu_0, passed, 10.1004, 0, 0, 0, 0, 0, 3
divu_1, passed, 10.3243, 0, 0, 0, 0, 0, 3
divu_2, passed, 10.2278, 0, 0, 0, 0, 0, 3
divu_3, passed, 10.2679, 0, 0, 0, 0, 0, 3
divu_4, passed, 10.452, 0, 0, 0, 0, 0, 3
divu_5, passed, 10.3144, 0, 0, 0, 0, 0, 3
divu_6, passed, 10.116, 0, 0, 0, 0, 0, 3
divu_7, passed, 10.3171, 0, 0, 0, 0, 0, 3
div_0, passed, 10.1009, 0, 0, 0, 0, 0, 3
div_1, passed, 10.5828, 0, 0, 0, 0, 0, 3
div_2, passed, 10.4402, 0, 0, 0, 0, 0, 3
div_3, passed, 10.132, 0, 0, 0, 0, 0, 3
div_4, passed, 10.3017, 0, 0, 0, 0, 0, 3
div_5, passed, 10.3471, 0, 0, 0, 0, 0, 3
div_6, passed, 10.3643, 0, 0, 0, 0, 0, 3
div_7, passed, 10.4348, 0, 0, 0, 0, 0, 3
lui_0, passed, 11.162, 0, 0, 0, 0, 0, 1
lui_1, passed, 10.5606, 0, 0, 0, 0, 0, 1
multu_0, passed, 10.5238, 0, 0, 0, 0, 0, 3
multu_1, passed, 10.4062, 0, 0, 0, 0, 0, 3
multu_2, passed, 10.2181, 0, 0, 0, 0, 0, 3
multu_3, passed, 10.4953, 0, 0, 0, 0, 0, 3
multu_4, passed, 10.7131, 0, 0, 0, 0, 0, 3
multu_5, passed, 10.2802, 0, 0, 0, 0, 0, 3
multu_6, passed, 10.1504, 0, 0, 0, 0, 0, 3
multu_7, passed, 10.4437, 0, 0, 0, 0, 0, 3
mult_0, passed, 10.2996, 0, 0, 0, 0, 0, 3
mult_1, passed, 10.2338, 0, 0, 0, 0, 0, 3
mult_2, passed, 10.8906, 0, 0, 0, 0, 0, 3
mult_3, passed, 10.4666, 0, 0, 0, 0, 0, 3
mult_4, passed, 10.4061, 0, 0, 0, 0, 0, 3
mult_5, passed, 10.3917, 0, 0, 0, 0, 0, 3
mult_6, passed, 10.1848, 0, 0, 0, 0, 0, 3
mult_7, passed, 10.3301, 0, 0, 0, 0, 0, 3
mxhi_0, passed, 10.8732, 0, 0, 0, 0, 0, 2
mxlo_0, passed, 10.5435, 0, 0, 0, 0, 0, 2
nop, passed, 10.5025, 0, 0, 0, 0, 0, 3
nor_0, passed, 11.417, 0, 0, 0, 0, 0, 1
nor_1, passed, 11.4268, 0, 0, 0, 0, 0, 1
nor_2, passed, 10.9852, 0, 0, 0, 0, 0, 1
nor_3, passed, 11.585, 0, 0, 0, 0, 0, 1
ori_0, passed, 10.7784, 0, 0, 0, 0, 0, 1
ori_1, passed, 11.4304, 0, 0, 0, 0, 0, 1
ori_2, passed, 11.4452, 0, 0, 0, 0, 0, 1
ori_3, passed, 11.3192, 0, 0, 0, 0, 0, 1
ori_4, passed, 11.4726, 0, 0, 0, 0, 0, 1
or_0, passed, 11.7875, 0, 0, 0, 0, 0, 1
or_1, passed, 11.5418, 0, 0, 0, 0, 0, 1
or_2, passed, 11.0652, 0, 0, 0, 0, 0, 1
or_3, passed, 11.0719, 0, 0, 0, 0, 0, 1
or_4, passed, 10.7153, 0, 0, 0, 0, 0, 1
sllv_0, passed, 11.5502, 0, 0, 0, 0, 0, 1
sllv_1, passed, 11.0335, 0, 0, 0, 0, 0, 1
sllv_10, passed, 11.0104, 0, 0, 0, 0, 0, 1
sllv_11, passed, 11.3578, 0, 0, 0, 0, 0, 1
sllv_12, passed, 11.0735, 0, 0, 0, 0, 0, 1
sllv_2, passed, 11.0949, 0, 0, 0, 0, 0, 1
sllv_3, passed, 10.9041, 0, 0, 0, 0, 0, 1
sllv_4, passed, 10.9883, 0, 0, 0, 0, 0, 1
sllv_5, passed, 10.9768, 0, 0, 0, 0, 0, 1
sllv_6, passed, 10.8691, 0, 0, 0, 0, 0, 1
sllv_7, passed, 11.017, 0, 0, 0, 0, 0, 1
sllv_8, passed, 11.2559, 0, 0, 0, 0, 0, 1
sllv_9, passed, 11.7669, 0, 0, 0, 0, 0, 1
sll_0, passed, 11.3748, 0, 0, 0, 0, 0, 1
sll_1, passed, 11.3107, 0, 0, 0, 0, 0, 1
sll_2, passed, 11.1061, 0, 0, 0, 0, 0, 1
sll_3, passed, 11.7905, 0, 0, 0, 0, 0, 1
sll_4, passed, 10.9224, 0, 0, 0, 0, 0, 1
sll_5, passed, 11.0904, 0, 0, 0, 0, 0, 1
sll_6, passed, 11.7083, 0, 0, 0, 0, 0, 1
sll_7, passed, 11.3941, 0, 0, 0, 0, 0, 1
sltiu_0, passed, 10.8347, 0, 0, 0, 0, 0, 1
sltiu_1, passed, 10.9222, 0, 0, 0, 0, 0, 1
sltiu_2, passed, 11.7333, 0, 0, 0, 0, 0, 1
sltiu_3, passed, 11.0844, 0, 0, 0, 0, 0, 1
sltiu_4, passed, 11.4959, 0, 0, 0, 0, 0, 1
sltiu_5, passed, 11.1177, 0, 0, 0, 0, 0, 1
slti_0, passed, 12.0054, 0, 0, 0, 0, 0, 1
slti_1, passed, 11.0695, 0, 0, 0, 0, 0, 1
slti_2, passed, 11.4753, 0, 0, 0, 0, 0, 1
slti_3, passed, 11.462, 0, 0, 0, 0, 0, 1
slti_4, passed, 11.3441, 0, 0, 0, 0, 0, 1
slti_5, passed, 11.3514, 0, 0, 0, 0, 0, 1
sltu_0, passed, 11.4806, 0, 0, 0, 0, 0, 1
sltu_1, passed, 11.2708, 0, 0, 0, 0, 0, 1
sltu_2, passed, 11.0974, 0, 0, 0, 0, 0, 1
sltu_3, passed, 11.2385, 0, 0, 0, 0, 0, 1
sltu_4, passed, 11.4867, 0, 0, 0, 0, 0, 1
sltu_5, passed, 11.4238, 0, 0, 0, 0, 0, 1
slt_0, passed, 10.7937, 0, 0, 0, 0, 0, 1
slt_1, passed, 11.2497, 0, 0, 0, 0, 0, 1
slt_2, passed, 10.7723, 0, 0, 0, 0, 0, 1
slt_3, passed, 10.6961, 0, 0, 0, 0, 0, 1
slt_4, passed, 11.1706, 0, 0, 0, 0, 0, 1
slt_5, passed, 11.3373, 0, 0, 0, 0, 0, 1
srav_0, passed, 11.5338, 0, 0, 0, 0, 0, 1
srav_1, passed, 11.1068, 0, 0, 0, 0, 0, 1
srav_10, passed, 11.69, 0, 0, 0, 0, 0, 1
srav_11, passed, 11.2257, 0, 0, 0, 0, 0, 1
srav_12, passed, 11.4621, 0, 0, 0, 0, 0, 1
srav_2, passed, 12.1726, 0, 0, 0, 0, 0, 1
srav_3, passed, 11.4266, 0, 0, 0, 0, 0, 1
srav_4, passed, 11.023, 0, 0, 0, 0, 0, 1
srav_5, passed, 12.0738, 0, 0, 0, 0, 0, 1
srav_6, passed, 11.0568, 0, 0, 0, 0, 0, 1
srav_7, passed, 10.91, 0, 0, 0, 0, 0, 1
srav_8, passed, 11.4573, 0, 0, 0, 0, 0, 1
srav_9, passed, 11.2064, 0, 0, 0, 0, 0, 1
sra_0, passed, 11.7106, 0, 0, 0, 0, 0, 1
sra_1, passed, 11.447, 0, 0, 0, 0, 0, 1
sra_2, passed, 10.9689, 0, 0, 0, 0, 0, 1
sra_3, passed, 11.1636, 0, 0, 0, 0, 0, 1
sra_4, passed, 11.162, 0, 0, 0, 0, 0, 1
sra_5, passed, 11.3091, 0, 0, 0, 0, 0, 1
sra_6, passed, 11.3702, 0, 0, 0, 0, 0, 1
sra_7, passed, 11.4027, 0, 0, 0, 0, 0, 1
srlv_0, passed, 11.4804, 0, 0, 0, 0, 0, 1
srlv_1, passed, 11.5902, 0, 0, 0, 0, 0, 1
srlv_10, passed, 12.1507, 0, 0, 0, 0, 0, 1
srlv_11, passed, 10.8921, 0, 0, 0, 0, 0, 1
srlv_12, passed, 10.9783, 0, 0, 0, 0, 0, 1
srlv_2, passed, 11.3672, 0, 0, 0, 0, 0, 1
srlv_3, passed, 11.4961, 0, 0, 0, 0, 0, 1
srlv_4, passed, 11.4097, 0, 0, 0, 0, 0, 1
srlv_5, passed, 11.6008, 0, 0, 0, 0, 0, 1
srlv_6, passed, 11.2801, 0, 0, 0, 0, 0, 1
srlv_7, passed, 11.1458, 0, 0, 0, 0, 0, 1
srlv_8, passed, 10.8358, 0, 0, 0, 0, 0, 1
srlv_9, passed, 10.7605, 0, 0, 0, 0, 0, 1
srl_0, passed, 10.8637, 0, 0, 0, 0, 0, 1
srl_1, passed, 10.6783, 0, 0, 0, 0, 0, 1
srl_2, passed, 10.9745, 0, 0, 0, 0, 0, 1
srl_3, passed, 11.4578, 0, 0, 0, 0, 0, 1
srl_4, passed, 10.8158, 0, 0, 0, 0, 0, 1
srl_5, passed, 11.711, 0, 0, 0, 0, 0, 1
srl_6, passed, 11.2707, 0, 0, 0, 0, 0, 1
srl_7, passed, 11.2238, 0, 0, 0, 0, 0, 1
subu_0, passed, 10.594, 0, 0, 0, 0, 0, 1
subu_1, passed, 11.1399, 0, 0, 0, 0, 0, 1
subu_2, passed, 10.9211, 0, 0, 0, 0, 0, 1
subu_3, passed, 11.1562, 0, 0, 0, 0, 0, 1
subu_4, passed, 11.2197, 0, 0, 0, 0, 0, 1
subu_5, passed, 11.1343, 0, 0, 0, 0, 0, 1
sub_0, passed, 10.8706, 0, 0, 0, 0, 0, 1
sub_1, passed, 10.6685, 0, 0, 0, 0, 0, 1
sub_2, passed, 10.8157, 0, 0, 0, 0, 0, 1
sub_3, passed, 10.8794, 0, 0, 0, 0, 0, 1
sub_4, passed, 11.5918, 0, 0, 0, 0, 0, 1
sub_5, passed, 11.6413, 0, 0, 0, 0, 0, 1
xori_0, passed, 11.87, 0, 0, 0, 0, 0, 1
xori_1, passed, 11.7967, 0, 0, 0, 0, 0, 1
xori_2, passed, 11.2878, 0, 0, 0, 0, 0, 1
xori_3, passed, 11.0868, 0, 0, 0, 0, 0, 1
xori_4, passed, 11.355, 0, 0, 0, 0, 0, 1
xor_0, passed, 11.3297, 0, 0, 0, 0, 0, 1
xor_1, passed, 11.0138, 0, 0, 0, 0, 0, 1
xor_2, passed, 10.4736, 0, 0, 0, 0, 0, 1
xor_3, passed, 11.1147, 0, 0, 0, 0, 0, 1
xor_4, passed, 11.1813, 0, 0, 0, 0, 0, 1
beq_0, passed, 15.0035, 0, 0, 0, 0, 0, 2
beq_1, passed, 14.212, 0, 0, 0, 0, 0, 4
beq_2, passed, 13.808, 0, 0, 0, 0, 0, 10
beq_3, passed, 15.099, 0, 0, 0, 0, 0, 6
bgezal_0, passed, 15.1302, 0, 0, 0, 0, 0, 2
bgezal_1, passed, 15.4106, 0, 0, 0, 0, 0, 2
bgezal_2, passed, 15.8188, 0, 0, 0, 0, 0, 4
bgezal_3, passed, 14.6696, 0, 0, 0, 0, 0, 10
bgezal_4, passed, 14.3396, 0, 0, 0, 0, 0, 10
bgezal_5, passed, 15.0858, 0, 0, 0, 0, 0, 6
bgezal_6, passed, 33.8715, 0, 0, 0, 0, 0, 5
bgezal_7, passed, 33.3094, 0, 0, 0, 0, 0, 8
bgez_0, passed, 16.1049, 0, 0, 0, 0, 0, 2
bgez_1, passed, 15.4176, 0, 0, 0, 0, 0, 2
bgez_2, passed, 15.1132, 0, 0, 0, 0, 0, 4
bgez_3, passed, 14.7978, 0, 0, 0, 0, 0, 10
bgez_4, passed, 15.8275, 0, 0, 0, 0, 0, 10
bgez_5, passed, 14.93, 0, 0, 0, 0, 0, 6
bgtz_0, passed, 15.294, 0, 0, 0, 0, 0, 2
bgtz_1, passed, 15.7455, 0, 0, 0, 0, 0, 4
bgtz_2, passed, 15.3031, 0, 0, 0, 0, 0, 4
bgtz_3, passed, 14.8098, 0, 0, 0, 0, 0, 10
bgtz_4, passed, 15.0483, 0, 0, 0, 0, 0, 6
bgtz_5, passed, 15.0019, 0, 0, 0, 0, 0, 6
blez_0, passed, 15.748, 0, 0, 0, 0, 0, 2
blez_1, passed, 13.71, 0, 0, 0, 0, 0, 2
blez_2, passed, 15.5361, 0, 0, 0, 0, 0, 4
blez_3, passed, 15.1792, 0, 0, 0, 0, 0, 10
blez_4, passed, 14.8776, 0, 0, 0, 0, 0, 10
blez_5, passed, 15.304, 0, 0, 0, 0, 0, 6
bltzal_0, passed, 15.3359, 0, 0, 0, 0, 0, 2
bltzal_1, passed, 15.4518, 0, 0, 0, 0, 0, 4
bltzal_2, passed, 15.0658, 0, 0, 0, 0, 0, 4
bltzal_3, passed, 14.4518, 0, 0, 0, 0, 0, 10
bltzal_4, passed, 14.6779, 0, 0, 0, 0, 0, 6
bltzal_5, passed, 15.2542, 0, 0, 0, 0, 0, 6
bltzal_6, passed, 33.7247, 0, 0, 0, 0, 0, 5
bltzal_7, passed, 34.3075, 0, 0, 0, 0, 0, 8
bltz_0, passed, 13.2347, 0, 0, 0, 0, 0, 2
bltz_1, passed, 14.9082, 0, 0, 0, 0, 0, 4
bltz_2, passed, 14.6014, 0, 0, 0, 0, 0, 4
bltz_3, passed, 15.0137, 0, 0, 0, 0, 0, 10
bltz_4, passed, 14.871, 0, 0, 0, 0, 0, 6
bltz_5, passed, 15.1178, 0, 0, 0, 0, 0, 6
bne_0, passed, 14.7538, 0, 0, 0, 0, 0, 2
bne_1, passed, 16.098, 0, 0, 0, 0, 0, 4
bne_2, passed, 15.1123, 0, 0, 0, 0, 0, 10
bne_3, passed, 14.0016, 0, 0, 0, 0, 0, 6
delay_beq_0, passed, 15.7889, 0, 0, 0, 0, 0, 2
delay_beq_1, passed, 14.5782, 0, 0, 0, 0, 0, 4
delay_beq_2, passed, 14.7648, 0, 0, 0, 0, 0, 10
delay_beq_3, passed, 14.5841, 0, 0, 0, 0, 0, 6
delay_beq_4, passed, 15.0601, 0, 0, 0, 0, 0, 9
delay_bgezal_0, passed, 15.8908, 0, 0, 0, 0, 0, 2
delay_bgezal_1, passed, 15.0221, 0, 0, 0, 0, 0, 2
delay_bgezal_2, passed, 15.3559, 0, 0, 0, 0, 0, 4
delay_bgezal_3, passed, 14.8622, 0, 0, 0, 0, 0, 10
delay_bgezal_4, passed, 14.6572, 0, 0, 0, 0, 0, 10
delay_bgezal_5, passed, 14.9116, 0, 0, 0, 0, 0, 6
delay_bgezal_6, passed, 33.7839, 0, 0, 0, 0, 0, 5
delay_bgezal_7, passed, 33.6857, 0, 0, 0, 0, 0, 8
delay_bgezal_8, passed, 33.3605, 0, 0, 0, 0, 0, 6
delay_bgezal_9, passed, 34.1852, 0, 0, 0, 0, 0, 5
delay_bgez_0, passed, 15.5074, 0, 0, 0, 0, 0, 2
delay_bgez_1, passed, 14.9714, 0, 0, 0, 0, 0, 2
delay_bgez_2, passed, 15.0805, 0, 0, 0, 0, 0, 4
delay_bgez_3, passed, 14.4329, 0, 0, 0, 0, 0, 10
delay_bgez_4, passed, 14.2002, 0, 0, 0, 0, 0, 10
delay_bgez_5, passed, 14.8084, 0, 0, 0, 0, 0, 6
delay_bgtz_0, passed, 15.0318, 0, 0, 0, 0, 0, 2
delay_bgtz_1, passed, 14.4488, 0, 0, 0, 0, 0, 4
