name, status, time (us), blocks, blocks executed, host instructions, source instructions, host instructions executed, source instructions emulated
addiu_0, passed, 2.85755, 0, 0, 0, 0, 0, 1
addiu_1, passed, 2.97036, 0, 0, 0, 0, 0, 5
addiu_2, passed, 2.91714, 0, 0, 0, 0, 0, 3
addiu_3, passed, 2.8561, 0, 0, 0, 0, 0, 1
addiu_4, passed, 2.89778, 0, 0, 0, 0, 0, 1
addi_0, passed, 2.90207, 0, 0, 0, 0, 0, 1
addi_1, passed, 2.98489, 0, 0, 0, 0, 0, 5
addi_2, passed, 2.92651, 0, 0, 0, 0, 0, 3
addi_3, passed, 2.85813, 0, 0, 0, 0, 0, 1
addu_0, passed, 3.05338, 0, 0, 0, 0, 0, 1
addu_1, passed, 2.86652, 0, 0, 0, 0, 0, 1
addu_2, passed, 2.97105, 0, 0, 0, 0, 0, 1
addu_3, passed, 2.86271, 0, 0, 0, 0, 0, 1
addu_4, passed, 2.8581, 0, 0, 0, 0, 0, 1
addu_5, passed, 2.87139, 0, 0, 0, 0, 0, 1
addu_6, passed, 2.8608, 0, 0, 0, 0, 0, 1
add_0, passed, 2.86359, 0, 0, 0, 0, 0, 1
add_1, passed, 2.86881, 0, 0, 0, 0, 0, 1
add_2, passed, 2.86004, 0, 0, 0, 0, 0, 1
add_3, passed, 2.90663, 0, 0, 0, 0, 0, 1
add_4, passed, 2.86316, 0, 0, 0, 0, 0, 1
add_5, passed, 2.86064, 0, 0, 0, 0, 0, 1
andi_0, passed, 2.86815, 0, 0, 0, 0, 0, 1
andi_1, passed, 2.87759, 0, 0, 0, 0, 0, 1
andi_2, passed, 2.85477, 0, 0, 0, 0, 0, 1
andi_3, passed, 2.923, 0, 0, 0, 0, 0, 1
andi_4, passed, 2.86644, 0, 0, 0, 0, 0, 1
and_0, passed, 2.86507, 0, 0, 0, 0, 0, 1
and_1, passed, 2.86597, 0, 0, 0, 0, 0, 1
and_2, passed, 2.8718, 0, 0, 0, 0, 0, 1
and_3, passed, 2.861, 0, 0, 0, 0, 0, 1
and_4, passed, 2.90862, 0, 0, 0, 0, 0, 1
divu_0, passed, 2.91879, 0, 0, 0, 0, 0, 3
divu_1, passed, 2.93389, 0, 0, 0, 0, 0, 3
divu_2, passed, 2.94785, 0, 0, 0, 0, 0, 3
divu_3, passed, 2.93141, 0, 0, 0, 0, 0, 3
divu_4, passed, 2.93254, 0, 0, 0, 0, 0, 3
divu_5, passed, 2.9247, 0, 0, 0, 0, 0, 3
divu_6, passed, 2.93133, 0, 0, 0, 0, 0, 3
divu_7, passed, 2.94369, 0, 0, 0, 0, 0, 3
div_0, passed, 2.96276, 0, 0, 0, 0, 0, 3
div_1, passed, 2.93236, 0, 0, 0, 0, 0, 3
div_2, passed, 2.94068, 0, 0, 0, 0, 0, 3
div_3, passed, 2.9551, 0, 0, 0, 0, 0, 3
div_4, passed, 2.97211, 0, 0, 0, 0, 0, 3
div_5, passed, 2.9326, 0, 0, 0, 0, 0, 3
div_6, passed, 2.93174, 0, 0, 0, 0, 0, 3
div_7, passed, 2.9248, 0, 0, 0, 0, 0, 3
lui_0, passed, 2.85062, 0, 0, 0, 0, 0, 1
lui_1, passed, 2.85667, 0, 0, 0, 0, 0, 1
multu_0, passed, 2.92757, 0, 0, 0, 0, 0, 3
multu_1, passed, 2.95931, 0, 0, 0, 0, 0, 3
multu_2, passed, 2.91837, 0, 0, 0, 0, 0, 3
multu_3, passed, 2.9433, 0, 0, 0, 0, 0, 3
multu_4, passed, 2.9216, 0, 0, 0, 0, 0, 3
multu_5, passed, 2.95682, 0, 0, 0, 0, 0, 3
multu_6, passed, 2.92271, 0, 0, 0, 0, 0, 3
multu_7, passed, 2.92241, 0, 0, 0, 0, 0, 3
mult_0, passed, 2.95204, 0, 0, 0, 0, 0, 3
mult_1, passed, 2.91905, 0, 0, 0, 0, 0, 3
mult_2, passed, 2.92263, 0, 0, 0, 0, 0, 3
mult_3, passed, 2.92651, 0, 0, 0, 0, 0, 3
mult_4, passed, 2.91496, 0, 0, 0, 0, 0, 3
mult_5, passed, 2.92073, 0, 0, 0, 0, 0, 3
mult_6, passed, 2.92242, 0, 0, 0, 0, 0, 3
mult_7, passed, 2.92388, 0, 0, 0, 0, 0, 3
mxhi_0, passed, 2.885, 0, 0, 0, 0, 0, 2
mxlo_0, passed, 2.91228, 0, 0, 0, 0, 0, 2
nop, passed, 2.95128, 0, 0, 0, 0, 0, 3
nor_0, passed, 2.86814, 0, 0, 0, 0, 0, 1
nor_1, passed, 2.87155, 0, 0, 0, 0, 0, 1
nor_2, passed, 2.86241, 0, 0, 0, 0, 0, 1
nor_3, passed, 2.86295, 0, 0, 0, 0, 0, 1
ori_0, passed, 2.87019, 0, 0, 0, 0, 0, 1
ori_1, passed, 2.86214, 0, 0, 0, 0, 0, 1
ori_2, passed, 2.8685, 0, 0, 0, 0, 0, 1
ori_3, passed, 2.86843, 0, 0, 0, 0, 0, 1
ori_4, passed, 2.87374, 0, 0, 0, 0, 0, 1
or_0, passed, 2.87699, 0, 0, 0, 0, 0, 1
or_1, passed, 2.86795, 0, 0, 0, 0, 0, 1
or_2, passed, 2.87315, 0, 0, 0, 0, 0, 1
or_3, passed, 2.86886, 0, 0, 0, 0, 0, 1
or_4, passed, 2.87427, 0, 0, 0, 0, 0, 1
sllv_0, passed, 2.86663, 0, 0, 0, 0, 0, 1
sllv_1, passed, 2.92717, 0, 0, 0, 0, 0, 1
sllv_10, passed, 2.87492, 0, 0, 0, 0, 0, 1
sllv_11, passed, 2.87776, 0, 0, 0, 0, 0, 1
sllv_12, passed, 2.86626, 0, 0, 0, 0, 0, 1
sllv_2, passed, 2.89303, 0, 0, 0, 0, 0, 1
sllv_3, passed, 2.90979, 0, 0, 0, 0, 0, 1
sllv_4, passed, 2.86027, 0, 0, 0, 0, 0, 1
sllv_5, passed, 2.87236, 0, 0, 0, 0, 0, 1
sllv_6, passed, 2.85915, 0, 0, 0, 0, 0, 1
sllv_7, passed, 2.88791, 0, 0, 0, 0, 0, 1
sllv_8, passed, 2.86473, 0, 0, 0, 0, 0, 1
sllv_9, passed, 2.8752, 0, 0, 0, 0, 0, 1
sll_0, passed, 2.85996, 0, 0, 0, 0, 0, 1
sll_1, passed, 2.86866, 0, 0, 0, 0, 0, 1
sll_2, passed, 2.86971, 0, 0, 0, 0, 0, 1
sll_3, passed, 2.88109, 0, 0, 0, 0, 0, 1
sll_4, passed, 2.87327, 0, 0, 0, 0, 0, 1
sll_5, passed, 2.86431, 0, 0, 0, 0, 0, 1
sll_6, passed, 2.86685, 0, 0, 0, 0, 0, 1
sll_7, passed, 2.86392, 0, 0, 0, 0, 0, 1
sltiu_0, passed, 2.87122, 0, 0, 0, 0, 0, 1
sltiu_1, passed, 2.8554, 0, 0, 0, 0, 0, 1
sltiu_2, passed, 2.8752, 0, 0, 0, 0, 0, 1
sltiu_3, passed, 2.87997, 0, 0, 0, 0, 0, 1
sltiu_4, passed, 2.86679, 0, 0, 0, 0, 0, 1
sltiu_5, passed, 2.90386, 0, 0, 0, 0, 0, 1
slti_0, passed, 2.862, 0, 0, 0, 0, 0, 1
slti_1, passed, 2.9224, 0, 0, 0, 0, 0, 1
slti_2, passed, 2.91212, 0, 0, 0, 0, 0, 1
slti_3, passed, 2.89065, 0, 0, 0, 0, 0, 1
slti_4, passed, 2.88975, 0, 0, 0, 0, 0, 1
slti_5, passed, 2.87279, 0, 0, 0, 0, 0, 1
sltu_0, passed, 2.85918, 0, 0, 0, 0, 0, 1
sltu_1, passed, 2.8684, 0, 0, 0, 0, 0, 1
sltu_2, passed, 2.88998, 0, 0, 0, 0, 0, 1
sltu_3, passed, 2.85693, 0, 0, 0, 0, 0, 1
sltu_4, passed, 2.86889, 0, 0, 0, 0, 0, 1
sltu_5, passed, 2.85942, 0, 0, 0, 0, 0, 1
slt_0, passed, 2.87636, 0, 0, 0, 0, 0, 1
slt_1, passed, 2.86587, 0, 0, 0, 0, 0, 1
slt_2, passed, 2.86455, 0, 0, 0, 0, 0, 1
slt_3, passed, 2.87746, 0, 0, 0, 0, 0, 1
slt_4, passed, 2.86786, 0, 0, 0, 0, 0, 1
slt_5, passed, 2.86658, 0, 0, 0, 0, 0, 1
srav_0, passed, 2.86407, 0, 0, 0, 0, 0, 1
srav_1, passed, 2.86536, 0, 0, 0, 0, 0, 1
srav_10, passed, 2.85947, 0, 0, 0, 0, 0, 1
srav_11, passed, 2.88409, 0, 0, 0, 0, 0, 1
srav_12, passed, 2.8677, 0, 0, 0, 0, 0, 1
srav_2, passed, 2.86359, 0, 0, 0, 0, 0, 1
srav_3, passed, 2.8601, 0, 0, 0, 0, 0, 1
srav_4, passed, 2.86432, 0, 0, 0, 0, 0, 1
srav_5, passed, 2.86605, 0, 0, 0, 0, 0, 1
srav_6, passed, 2.85832, 0, 0, 0, 0, 0, 1
srav_7, passed, 2.90665, 0, 0, 0, 0, 0, 1
srav_8, passed, 2.86129, 0, 0, 0, 0, 0, 1
srav_9, passed, 2.86247, 0, 0, 0, 0, 0, 1
sra_0, passed, 2.86228, 0, 0, 0, 0, 0, 1
sra_1, passed, 2.85264, 0, 0, 0, 0, 0, 1
sra_2, passed, 2.86535, 0, 0, 0, 0, 0, 1
sra_3, passed, 2.86788, 0, 0, 0, 0, 0, 1
sra_4, passed, 2.86972, 0, 0, 0, 0, 0, 1
sra_5, passed, 2.86746, 0, 0, 0, 0, 0, 1
sra_6, passed, 2.88405, 0, 0, 0, 0, 0, 1
sra_7, passed, 2.86417, 0, 0, 0, 0, 0, 1
srlv_0, passed, 2.86407, 0, 0, 0, 0, 0, 1
srlv_1, passed, 2.86966, 0, 0, 0, 0, 0, 1
srlv_10, passed, 2.8649, 0, 0, 0, 0, 0, 1
srlv_11, passed, 2.8609, 0, 0, 0, 0, 0, 1
srlv_12, passed, 2.88347, 0, 0, 0, 0, 0, 1
srlv_2, passed, 2.86141, 0, 0, 0, 0, 0, 1
srlv_3, passed, 2.88287, 0, 0, 0, 0, 0, 1
srlv_4, passed, 2.85973, 0, 0, 0, 0, 0, 1
srlv_5, passed, 2.87835, 0, 0, 0, 0, 0, 1
srlv_6, passed, 2.85839, 0, 0, 0, 0, 0, 1
srlv_7, passed, 2.87386, 0, 0, 0, 0, 0, 1
srlv_8, passed, 2.8714, 0, 0, 0, 0, 0, 1
srlv_9, passed, 2.87029, 0, 0, 0, 0, 0, 1
srl_0, passed, 2.861, 0, 0, 0, 0, 0, 1
srl_1, passed, 2.85854, 0, 0, 0, 0, 0, 1
srl_2, passed, 2.86183, 0, 0, 0, 0, 0, 1
srl_3, passed, 2.86491, 0, 0, 0, 0, 0, 1
srl_4, passed, 2.90155, 0, 0, 0, 0, 0, 1
srl_5, passed, 2.85591, 0, 0, 0, 0, 0, 1
srl_6, passed, 2.85429, 0, 0, 0, 0, 0, 1
srl_7, passed, 2.88567, 0, 0, 0, 0, 0, 1
subu_0, passed, 2.88237, 0, 0, 0, 0, 0, 1
