name, status, time (us), blocks, blocks executed, host instructions, source instructions, host instructions executed, source instructions emulated
addiu_0, passed, 2.90806, 0, 0, 0, 0, 0, 1
addiu_1, passed, 2.97744, 0, 0, 0, 0, 0, 5
addiu_2, passed, 2.92405, 0, 0, 0, 0, 0, 3
addiu_3, passed, 2.86588, 0, 0, 0, 0, 0, 1
addiu_4, passed, 2.86174, 0, 0, 0, 0, 0, 1
addi_0, passed, 2.86235, 0, 0, 0, 0, 0, 1
addi_1, passed, 2.96568, 0, 0, 0, 0, 0, 5
addi_2, passed, 2.91744, 0, 0, 0, 0, 0, 3
addi_3, passed, 2.87143, 0, 0, 0, 0, 0, 1
addu_0, passed, 2.92269, 0, 0, 0, 0, 0, 1
addu_1, passed, 2.85206, 0, 0, 0, 0, 0, 1
addu_2, passed, 2.90393, 0, 0, 0, 0, 0, 1
addu_3, passed, 2.86685, 0, 0, 0, 0, 0, 1
addu_4, passed, 2.8532, 0, 0, 0, 0, 0, 1
addu_5, passed, 2.8616, 0, 0, 0, 0, 0, 1
addu_6, passed, 2.85259, 0, 0, 0, 0, 0, 1
add_0, passed, 2.86475, 0, 0, 0, 0, 0, 1
add_1, passed, 2.84636, 0, 0, 0, 0, 0, 1
add_2, passed, 2.85335, 0, 0, 0, 0, 0, 1
add_3, passed, 2.8772, 0, 0, 0, 0, 0, 1
add_4, passed, 2.85635, 0, 0, 0, 0, 0, 1
add_5, passed, 2.89038, 0, 0, 0, 0, 0, 1
andi_0, passed, 2.90954, 0, 0, 0, 0, 0, 1
andi_1, passed, 2.86229, 0, 0, 0, 0, 0, 1
andi_2, passed, 2.85667, 0, 0, 0, 0, 0, 1
andi_3, passed, 2.85281, 0, 0, 0, 0, 0, 1
andi_4, passed, 2.85691, 0, 0, 0, 0, 0, 1
and_0, passed, 2.86426, 0, 0, 0, 0, 0, 1
and_1, passed, 2.8977, 0, 0, 0, 0, 0, 1
and_2, passed, 2.85455, 0, 0, 0, 0, 0, 1
and_3, passed, 2.86043, 0, 0, 0, 0, 0, 1
and_4, passed, 2.85669, 0, 0, 0, 0, 0, 1
divu_0, passed, 2.92019, 0, 0, 0, 0, 0, 3
divu_1, passed, 2.94723, 0, 0, 0, 0, 0, 3
divu_2, passed, 2.91783, 0, 0, 0, 0, 0, 3
divu_3, passed, 2.91385, 0, 0, 0, 0, 0, 3
divu_4, passed, 2.9223, 0, 0, 0, 0, 0, 3
divu_5, passed, 2.91536, 0, 0, 0, 0, 0, 3
divu_6, passed, 2.91481, 0, 0, 0, 0, 0, 3
divu_7, passed, 2.92702, 0, 0, 0, 0, 0, 3
div_0, passed, 2.9465, 0, 0, 0, 0, 0, 3
div_1, passed, 2.91296, 0, 0, 0, 0, 0, 3
div_2, passed, 2.94435, 0, 0, 0, 0, 0, 3
div_3, passed, 2.91623, 0, 0, 0, 0, 0, 3
div_4, passed, 2.92443, 0, 0, 0, 0, 0, 3
div_5, passed, 2.94854, 0, 0, 0, 0, 0, 3
div_6, passed, 2.92856, 0, 0, 0, 0, 0, 3
div_7, passed, 2.92086, 0, 0, 0, 0, 0, 3
lui_0, passed, 2.85347, 0, 0, 0, 0, 0, 1
lui_1, passed, 2.86367, 0, 0, 0, 0, 0, 1
multu_0, passed, 2.92898, 0, 0, 0, 0, 0, 3
multu_1, passed, 2.936, 0, 0, 0, 0, 0, 3
multu_2, passed, 2.91265, 0, 0, 0, 0, 0, 3
multu_3, passed, 2.95349, 0, 0, 0, 0, 0, 3
multu_4, passed, 2.94067, 0, 0, 0, 0, 0, 3
multu_5, passed, 2.97418, 0, 0, 0, 0, 0, 3
multu_6, passed, 2.91027, 0, 0, 0, 0, 0, 3
multu_7, passed, 2.94013, 0, 0, 0, 0, 0, 3
