name, status, time (us), blocks, blocks executed, host instructions, source instructions, host instructions executed, source instructions emulated
addiu_0, passed, 0.636364, 0, 0, 0, 0, 0, 1
addiu_1, passed, 0.729345, 0, 0, 0, 0, 0, 5
addiu_2, passed, 0.683931, 0, 0, 0, 0, 0, 3
addiu_3, passed, 0.636172, 0, 0, 0, 0, 0, 1
addiu_4, passed, 0.636167, 0, 0, 0, 0, 0, 1
addi_0, passed, 0.63616, 0, 0, 0, 0, 0, 1
addi_1, passed, 0.727222, 0, 0, 0, 0, 0, 5
addi_2, passed, 0.687213, 0, 0, 0, 0, 0, 3
addi_3, passed, 0.63588, 0, 0, 0, 0, 0, 1
addu_0, passed, 0.636424, 0, 0, 0, 0, 0, 1
addu_1, passed, 0.636536, 0, 0, 0, 0, 0, 1
addu_2, passed, 0.638764, 0, 0, 0, 0, 0, 1
addu_3, passed, 0.63636, 0, 0, 0, 0, 0, 1
addu_4, passed, 0.635115, 0, 0, 0, 0, 0, 1
addu_5, passed, 0.635133, 0, 0, 0, 0, 0, 1
addu_6, passed, 0.636346, 0, 0, 0, 0, 0, 1
add_0, passed, 0.6364, 0, 0, 0, 0, 0, 1
add_1, passed, 0.640539, 0, 0, 0, 0, 0, 1
add_2, passed, 0.636192, 0, 0, 0, 0, 0, 1
add_3, passed, 0.636036, 0, 0, 0, 0, 0, 1
add_4, passed, 0.635235, 0, 0, 0, 0, 0, 1
add_5, passed, 0.635381, 0, 0, 0, 0, 0, 1
andi_0, passed, 0.636321, 0, 0, 0, 0, 0, 1
andi_1, passed, 0.636149, 0, 0, 0, 0, 0, 1
andi_2, passed, 0.635973, 0, 0, 0, 0, 0, 1
andi_3, passed, 0.635944, 0, 0, 0, 0, 0, 1
andi_4, passed, 0.636071, 0, 0, 0, 0, 0, 1
and_0, passed, 0.639718, 0, 0, 0, 0, 0, 1
and_1, passed, 0.6366, 0, 0, 0, 0, 0, 1
and_2, passed, 0.636381, 0, 0, 0, 0, 0, 1
and_3, passed, 0.636367, 0, 0, 0, 0, 0, 1
and_4, passed, 0.63631, 0, 0, 0, 0, 0, 1
divu_0, passed, 0.687138, 0, 0, 0, 0, 0, 3
divu_1, passed, 0.683677, 0, 0, 0, 0, 0, 3
divu_2, passed, 0.683185, 0, 0, 0, 0, 0, 3
divu_3, passed, 0.683115, 0, 0, 0, 0, 0, 3
divu_4, passed, 0.683182, 0, 0, 0, 0, 0, 3
divu_5, passed, 0.687022, 0, 0, 0, 0, 0, 3
divu_6, passed, 0.68365, 0, 0, 0, 0, 0, 3
divu_7, passed, 0.682864, 0, 0, 0, 0, 0, 3
div_0, passed, 0.682125, 0, 0, 0, 0, 0, 3
div_1, passed, 0.681962, 0, 0, 0, 0, 0, 3
div_2, passed, 0.71831, 0, 0, 0, 0, 0, 3
div_3, passed, 0.682167, 0, 0, 0, 0, 0, 3
div_4, passed, 0.6824, 0, 0, 0, 0, 0, 3
div_5, passed, 0.682208, 0, 0, 0, 0, 0, 3
div_6, passed, 0.68269, 0, 0, 0, 0, 0, 3
div_7, passed, 0.682, 0, 0, 0, 0, 0, 3
lui_0, passed, 0.641816, 0, 0, 0, 0, 0, 1
lui_1, passed, 0.638361, 0, 0, 0, 0, 0, 1
multu_0, passed, 0.693611, 0, 0, 0, 0, 0, 3
multu_1, passed, 0.686922, 0, 0, 0, 0, 0, 3
multu_2, passed, 0.697412, 0, 0, 0, 0, 0, 3
multu_3, passed, 0.693662, 0, 0, 0, 0, 0, 3
multu_4, passed, 0.679714, 0, 0, 0, 0, 0, 3
multu_5, passed, 0.692392, 0, 0, 0, 0, 0, 3
multu_6, passed, 0.679708, 0, 0, 0, 0, 0, 3
multu_7, passed, 0.679792, 0, 0, 0, 0, 0, 3
mult_0, passed, 0.679571, 0, 0, 0, 0, 0, 3
mult_1, passed, 0.679333, 0, 0, 0, 0, 0, 3
mult_2, passed, 0.679692, 0, 0, 0, 0, 0, 3
mult_3, passed, 0.679467, 0, 0, 0, 0, 0, 3
mult_4, passed, 0.711289, 0, 0, 0, 0, 0, 3
mult_5, passed, 0.679576, 0, 0, 0, 0, 0, 3
mult_6, passed, 0.679667, 0, 0, 0, 0, 0, 3
mult_7, passed, 0.6795, 0, 0, 0, 0, 0, 3
mxhi_0, passed, 0.656194, 0, 0, 0, 0, 0, 2
mxlo_0, passed, 0.680023, 0, 0, 0, 0, 0, 2
nop, passed, 0.71495, 0, 0, 0, 0, 0, 3
nor_0, passed, 0.636424, 0, 0, 0, 0, 0, 1
nor_1, passed, 0.636107, 0, 0, 0, 0, 0, 1
nor_2, passed, 0.636069, 0, 0, 0, 0, 0, 1
nor_3, passed, 0.642041, 0, 0, 0, 0, 0, 1
ori_0, passed, 0.636372, 0, 0, 0, 0, 0, 1
ori_1, passed, 0.636261, 0, 0, 0, 0, 0, 1
ori_2, passed, 0.636826, 0, 0, 0, 0, 0, 1
ori_3, passed, 0.636556, 0, 0, 0, 0, 0, 1
ori_4, passed, 0.636516, 0, 0, 0, 0, 0, 1
or_0, passed, 0.63676, 0, 0, 0, 0, 0, 1
or_1, passed, 0.637107, 0, 0, 0, 0, 0, 1
or_2, passed, 0.636368, 0, 0, 0, 0, 0, 1
or_3, passed, 0.6365, 0, 0, 0, 0, 0, 1
or_4, passed, 0.636375, 0, 0, 0, 0, 0, 1
sllv_0, passed, 0.646064, 0, 0, 0, 0, 0, 1
sllv_1, passed, 0.636583, 0, 0, 0, 0, 0, 1
sllv_10, passed, 0.636194, 0, 0, 0, 0, 0, 1
sllv_11, passed, 0.643448, 0, 0, 0, 0, 0, 1
sllv_12, passed, 0.63629, 0, 0, 0, 0, 0, 1
sllv_2, passed, 0.63636, 0, 0, 0, 0, 0, 1
sllv_3, passed, 0.636233, 0, 0, 0, 0, 0, 1
sllv_4, passed, 0.642733, 0, 0, 0, 0, 0, 1
sllv_5, passed, 0.636478, 0, 0, 0, 0, 0, 1
sllv_6, passed, 0.636111, 0, 0, 0, 0, 0, 1
sllv_7, passed, 0.636185, 0, 0, 0, 0, 0, 1
sllv_8, passed, 0.63655, 0, 0, 0, 0, 0, 1
sllv_9, passed, 0.636667, 0, 0, 0, 0, 0, 1
sll_0, passed, 0.635545, 0, 0, 0, 0, 0, 1
sll_1, passed, 0.635615, 0, 0, 0, 0, 0, 1
sll_2, passed, 0.635207, 0, 0, 0, 0, 0, 1
sll_3, passed, 0.634917, 0, 0, 0, 0, 0, 1
sll_4, passed, 0.640429, 0, 0, 0, 0, 0, 1
sll_5, passed, 0.635024, 0, 0, 0, 0, 0, 1
sll_6, passed, 0.635071, 0, 0, 0, 0, 0, 1
sll_7, passed, 0.63504, 0, 0, 0, 0, 0, 1
sltiu_0, passed, 0.639148, 0, 0, 0, 0, 0, 1
sltiu_1, passed, 0.6368, 0, 0, 0, 0, 0, 1
sltiu_2, passed, 0.636926, 0, 0, 0, 0, 0, 1
sltiu_3, passed, 0.636259, 0, 0, 0, 0, 0, 1
sltiu_4, passed, 0.636129, 0, 0, 0, 0, 0, 1
sltiu_5, passed, 0.640909, 0, 0, 0, 0, 0, 1
slti_0, passed, 0.636529, 0, 0, 0, 0, 0, 1
slti_1, passed, 0.645346, 0, 0, 0, 0, 0, 1
slti_2, passed, 0.636185, 0, 0, 0, 0, 0, 1
slti_3, passed, 0.63887, 0, 0, 0, 0, 0, 1
slti_4, passed, 0.636042, 0, 0, 0, 0, 0, 1
slti_5, passed, 0.63631, 0, 0, 0, 0, 0, 1
sltu_0, passed, 0.6491, 0, 0, 0, 0, 0, 1
sltu_1, passed, 0.649, 0, 0, 0, 0, 0, 1
sltu_2, passed, 0.648867, 0, 0, 0, 0, 0, 1
sltu_3, passed, 0.654164, 0, 0, 0, 0, 0, 1
sltu_4, passed, 0.649125, 0, 0, 0, 0, 0, 1
sltu_5, passed, 0.649053, 0, 0, 0, 0, 0, 1
slt_0, passed, 0.636455, 0, 0, 0, 0, 0, 1
slt_1, passed, 0.638023, 0, 0, 0, 0, 0, 1
slt_2, passed, 0.640897, 0, 0, 0, 0, 0, 1
slt_3, passed, 0.642943, 0, 0, 0, 0, 0, 1
slt_4, passed, 0.649763, 0, 0, 0, 0, 0, 1
