name, status, time (us), blocks, blocks executed, host instructions, source instructions, host instructions executed, source instructions emulated
addiu_0, passed, 8.1804, 1, 1, 4, 1, 4, 1
addiu_1, passed, 8.52542, 1, 1, 8, 5, 8, 5
addiu_2, passed, 8.44927, 1, 1, 10, 3, 10, 3
addiu_3, passed, 8.16309, 1, 1, 4, 1, 4, 1
addiu_4, passed, 8.26892, 1, 1, 6, 1, 6, 1
addi_0, passed, 8.1802, 1, 1, 4, 1, 4, 1
addi_1, passed, 8.52627, 1, 1, 8, 5, 8, 5
addi_2, passed, 8.44341, 1, 1, 10, 3, 10, 3
addi_3, passed, 8.21756, 1, 1, 4, 1, 4, 1
addu_0, passed, 8.27341, 1, 1, 6, 1, 6, 1
addu_1, passed, 8.27487, 1, 1, 6, 1, 6, 1
addu_2, passed, 8.24437, 1, 1, 6, 1, 6, 1
addu_3, passed, 8.21377, 1, 1, 5, 1, 5, 1
addu_4, passed, 8.18415, 1, 1, 5, 1, 5, 1
addu_5, passed, 8.23618, 1, 1, 6, 1, 6, 1
addu_6, passed, 8.2702, 1, 1, 6, 1, 6, 1
add_0, passed, 8.26516, 1, 1, 6, 1, 6, 1
add_1, passed, 8.48942, 1, 1, 6, 1, 6, 1
add_2, passed, 8.27392, 1, 1, 6, 1, 6, 1
add_3, passed, 8.18537, 1, 1, 5, 1, 5, 1
add_4, passed, 8.15548, 1, 1, 5, 1, 5, 1
add_5, passed, 8.24965, 1, 1, 6, 1, 6, 1
andi_0, passed, 8.33022, 1, 1, 6, 1, 6, 1
andi_1, passed, 8.37297, 1, 1, 6, 1, 6, 1
andi_2, passed, 8.30494, 1, 1, 6, 1, 6, 1
andi_3, passed, 8.3281, 1, 1, 6, 1, 6, 1
andi_4, passed, 8.30255, 1, 1, 6, 1, 6, 1
and_0, passed, 8.27151, 1, 1, 6, 1, 6, 1
and_1, passed, 8.30568, 1, 1, 6, 1, 6, 1
and_2, passed, 8.30363, 1, 1, 6, 1, 6, 1
and_3, passed, 8.29431, 1, 1, 6, 1, 6, 1
and_4, passed, 8.37264, 1, 1, 6, 1, 6, 1
divu_0, passed, 8.55936, 1, 1, 12, 3, 12, 3
divu_1, passed, 8.53857, 1, 1, 12, 3, 12, 3
divu_2, passed, 8.56347, 1, 1, 12, 3, 12, 3
divu_3, passed, 8.57977, 1, 1, 12, 3, 12, 3
divu_4, passed, 8.57074, 1, 1, 12, 3, 12, 3
divu_5, passed, 8.56908, 1, 1, 12, 3, 12, 3
divu_6, passed, 8.54772, 1, 1, 12, 3, 12, 3
divu_7, passed, 8.5409, 1, 1, 12, 3, 12, 3
div_0, passed, 8.56843, 1, 1, 13, 3, 13, 3
div_1, passed, 8.5532, 1, 1, 13, 3, 13, 3
div_2, passed, 8.57481, 1, 1, 13, 3, 13, 3
div_3, passed, 8.58312, 1, 1, 13, 3, 13, 3
div_4, passed, 8.584, 1, 1, 13, 3, 13, 3
div_5, passed, 8.60023, 1, 1, 13, 3, 13, 3
div_6, passed, 8.57103, 1, 1, 13, 3, 13, 3
div_7, passed, 8.58538, 1, 1, 13, 3, 13, 3
lui_0, passed, 8.2623, 1, 1, 4, 1, 4, 1
lui_1, passed, 8.24784, 1, 1, 4, 1, 4, 1
multu_0, passed, 8.55399, 1, 1, 11, 3, 11, 3
multu_1, passed, 8.535, 1, 1, 11, 3, 11, 3
multu_2, passed, 8.58139, 1, 1, 11, 3, 11, 3
multu_3, passed, 8.54389, 1, 1, 11, 3, 11, 3
multu_4, passed, 8.57174, 1, 1, 11, 3, 11, 3
multu_5, passed, 8.58232, 1, 1, 11, 3, 11, 3
multu_6, passed, 8.56329, 1, 1, 11, 3, 11, 3
multu_7, passed, 8.54184, 1, 1, 11, 3, 11, 3
mult_0, passed, 8.55494, 1, 1, 11, 3, 11, 3
mult_1, passed, 8.6915, 1, 1, 11, 3, 11, 3
mult_2, passed, 8.56635, 1, 1, 11, 3, 11, 3
mult_3, passed, 8.54818, 1, 1, 11, 3, 11, 3
mult_4, passed, 8.53447, 1, 1, 11, 3, 11, 3
mult_5, passed, 8.58636, 1, 1, 11, 3, 11, 3
