name, status, time (us), blocks, blocks executed, host instructions, source instructions, host instructions executed, source instructions emulated
addiu_0, passed, 8.15907, 1, 1, 4, 1, 4, 1
addiu_1, passed, 8.39013, 1, 1, 8, 5, 8, 5
addiu_2, passed, 8.32612, 1, 1, 10, 3, 10, 3
addiu_3, passed, 8.07584, 1, 1, 4, 1, 4, 1
addiu_4, passed, 8.14226, 1, 1, 6, 1, 6, 1
addi_0, passed, 8.06123, 1, 1, 4, 1, 4, 1
addi_1, passed, 8.40619, 1, 1, 8, 5, 8, 5
addi_2, passed, 8.34818, 1, 1, 10, 3, 10, 3
addi_3, passed, 8.08615, 1, 1, 4, 1, 4, 1
addu_0, passed, 8.14456, 1, 1, 6, 1, 6, 1
addu_1, passed, 8.24202, 1, 1, 6, 1, 6, 1
addu_2, passed, 8.12611, 1, 1, 6, 1, 6, 1
addu_3, passed, 8.07208, 1, 1, 5, 1, 5, 1
addu_4, passed, 8.04116, 1, 1, 5, 1, 5, 1
addu_5, passed, 8.11266, 1, 1, 6, 1, 6, 1
addu_6, passed, 8.17263, 1, 1, 6, 1, 6, 1
add_0, passed, 8.23097, 1, 1, 6, 1, 6, 1
add_1, passed, 8.1501, 1, 1, 6, 1, 6, 1
add_2, passed, 8.14957, 1, 1, 6, 1, 6, 1
add_3, passed, 8.09389, 1, 1, 5, 1, 5, 1
add_4, passed, 8.07059, 1, 1, 5, 1, 5, 1
add_5, passed, 8.35382, 1, 1, 6, 1, 6, 1
andi_0, passed, 8.28812, 1, 1, 6, 1, 6, 1
andi_1, passed, 8.18033, 1, 1, 6, 1, 6, 1
andi_2, passed, 8.13848, 1, 1, 6, 1, 6, 1
andi_3, passed, 8.15148, 1, 1, 6, 1, 6, 1
andi_4, passed, 8.19035, 1, 1, 6, 1, 6, 1
and_0, passed, 8.11735, 1, 1, 6, 1, 6, 1
and_1, passed, 8.15693, 1, 1, 6, 1, 6, 1
and_2, passed, 8.1287, 1, 1, 6, 1, 6, 1
and_3, passed, 8.13069, 1, 1, 6, 1, 6, 1
and_4, passed, 8.1369, 1, 1, 6, 1, 6, 1
divu_0, passed, 8.51162, 1, 1, 12, 3, 12, 3
divu_1, passed, 8.4433, 1, 1, 12, 3, 12, 3
divu_2, passed, 8.58127, 1, 1, 12, 3, 12, 3
divu_3, passed, 8.43384, 1, 1, 12, 3, 12, 3
divu_4, passed, 8.40626, 1, 1, 12, 3, 12, 3
divu_5, passed, 8.47367, 1, 1, 12, 3, 12, 3
divu_6, passed, 8.43156, 1, 1, 12, 3, 12, 3
divu_7, passed, 8.3975, 1, 1, 12, 3, 12, 3
div_0, passed, 8.43013, 1, 1, 13, 3, 13, 3
div_1, passed, 8.44327, 1, 1, 13, 3, 13, 3
div_2, passed, 8.41946, 1, 1, 13, 3, 13, 3
div_3, passed, 8.45238, 1, 1, 13, 3, 13, 3
div_4, passed, 8.50138, 1, 1, 13, 3, 13, 3
div_5, passed, 8.50102, 1, 1, 13, 3, 13, 3
div_6, passed, 8.43391, 1, 1, 13, 3, 13, 3
div_7, passed, 8.45011, 1, 1, 13, 3, 13, 3
lui_0, passed, 8.13786, 1, 1, 4, 1, 4, 1
lui_1, passed, 8.15728, 1, 1, 4, 1, 4, 1
multu_0, passed, 8.41068, 1, 1, 11, 3, 11, 3
multu_1, passed, 8.38489, 1, 1, 11, 3, 11, 3
multu_2, passed, 8.43171, 1, 1, 11, 3, 11, 3
multu_3, passed, 8.45287, 1, 1, 11, 3, 11, 3
multu_4, passed, 8.41959, 1, 1, 11, 3, 11, 3
multu_5, passed, 8.63741, 1, 1, 11, 3, 11, 3
multu_6, passed, 8.41212, 1, 1, 11, 3, 11, 3
multu_7, passed, 8.47582, 1, 1, 11, 3, 11, 3
mult_0, passed, 8.39277, 1, 1, 11, 3, 11, 3
mult_1, passed, 8.4196, 1, 1, 11, 3, 11, 3
mult_2, passed, 8.39542, 1, 1, 11, 3, 11, 3
mult_3, passed, 8.42102, 1, 1, 11, 3, 11, 3
mult_4, passed, 8.46528, 1, 1, 11, 3, 11, 3
mult_5, passed, 8.41895, 1, 1, 11, 3, 11, 3
mult_6, passed, 8.44149, 1, 1, 11, 3, 11, 3
mult_7, passed, 8.41825, 1, 1, 11, 3, 11, 3
mxhi_0, passed, 8.30886, 1, 1, 7, 2, 7, 2
mxlo_0, passed, 8.3182, 1, 1, 7, 2, 7, 2
nop, passed, 8.10118, 1, 1, 3, 3, 3, 3
nor_0, passed, 8.13476, 1, 1, 7, 1, 7, 1
nor_1, passed, 8.13695, 1, 1, 7, 1, 7, 1
nor_2, passed, 8.10733, 1, 1, 7, 1, 7, 1
nor_3, passed, 8.51068, 1, 1, 7, 1, 7, 1
ori_0, passed, 8.11903, 1, 1, 6, 1, 6, 1
ori_1, passed, 8.11338, 1, 1, 6, 1, 6, 1
ori_2, passed, 8.17582, 1, 1, 6, 1, 6, 1
ori_3, passed, 8.14199, 1, 1, 6, 1, 6, 1
ori_4, passed, 8.14035, 1, 1, 6, 1, 6, 1
or_0, passed, 8.14179, 1, 1, 6, 1, 6, 1
or_1, passed, 8.14631, 1, 1, 6, 1, 6, 1
or_2, passed, 8.14333, 1, 1, 6, 1, 6, 1
or_3, passed, 8.17584, 1, 1, 6, 1, 6, 1
or_4, passed, 8.14846, 1, 1, 6, 1, 6, 1
sllv_0, passed, 8.2458, 1, 1, 10, 1, 10, 1
sllv_1, passed, 8.22932, 1, 1, 10, 1, 10, 1
sllv_10, passed, 8.38087, 1, 1, 10, 1, 10, 1
sllv_11, passed, 8.2443, 1, 1, 10, 1, 10, 1
